nombre,especialidad,ciudad,pais,telefono,sitio_web
Vidente lectura de cartas,Vidente,San Nicolás de los Garza,MX,+52 81 1857 7913,
Elena Tarot,Centro espiritual,Guadalupe,MX,+52 81 2070 2918,https://tarotelena.cqr.mx/
Sumando Alas,Terapeuta de reiki,Bogotá,CO,+57 310 6214284,
Your Stellar Truth Astrology & Astrocartography,Astrólogo,Madrid,ES,+34 670 65 42 03,https://www.yourstellartruthastrology.com/
Reiki spa,Spa,Bogotá Sur,CO,+57 311 4290968,
Reiki Armonización energética,Terapeuta de reiki,Bogotá,CO,+57 311 2741004,
Casa del Tarot... Tu Casa Amiga,Vidente,Madrid,ES,+34 699 96 99 19,http://casadeltarot.es/
Reiki,Masajista,Bogotá,CO,+57 300 7848087,
Alquemila Terapias holísticas (Reiki y Barras de Access Bogotá),Terapeuta de reiki,Bogotá,CO,+57 350 7090064,
Yulieth Mendivelso Terapeuta holística Reiki / Barras de Access Bogotá,Terapeuta de reiki,Bogotá,CO,+57 300 6740463,
ALMAS EXPANSIVAS EN CONSCIENCIA,Terapeuta de reiki,Bogotá,CO,+57 316 8508357,https://almasexpansivasenconsciencia.my.canva.site/
TERAPIAS DE REIKI,Terapeuta de reiki,"Bogotá, DC",CO,+57 301 2879402,
AMRI Terapias Holísticas - Maribel Ardila Novoa,Terapeuta de reiki,Bogotá,CO,+57 319 2094972,https://amriterapiasholisticas.centrospa.co/
Constelaciones familiares - Psicología - Terapia Holistica - Sanación Emocional,Psicoterapeuta,Bogotá,CO,+57 320 2188289,https://kaivalya.my.canva.site/kaivalya
Consultorio Reiki,Profesional de medicina alternativa,Bogotá,CO,+57 313 4556444,http://www.terapiareiki.co/
MARITZA MONTEALEGRE ANGEOLOGA CENTRO HOLISTICO LUZ DE ÁNGELES Y ARMONÍA,Psicoterapeuta,Bogotá,CO,+57 315 7293500,
Tarot y Destino,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 5911-4032,
"DS Humano - ISAL, Ángel de Lope Coaching Sistémico en Madrid.",,Madrid,ES,+34 639 20 79 09,https://www.dshumano.com/
Astrovita Ser Holístico,,Bogotá,CO,+57 305 4256999,
Tarot Premadevi Caballito,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 11 5042-5615,
Centro de Terapias Holísticas Lotus Flower,Centro de salud y bienestar,Bogotá,CO,+57 316 3020015,
Ramon Santos Jurado Coach Holístico de Transformación Espiritual,Terapeuta de reiki,Santa Marta,CO,+57 300 6753481,
Rocío Carrasco - Terapeuta Holistica,Centro de salud y bienestar,Madrid,ES,+34 650 37 34 31,https://vitaeanima.com/
El Circulo Energético,Terapeuta de reiki,Bogotá,CO,+57 317 5156186,
CEHOT Centro Holístico Terapéutico,Centro de formación,Los Patios,CO,+57 318 4004279,https://cehotcentroholistico.wixsite.com/cehot
ESCUELA DE LIDERAZGO Y COACHING QUÁNTICO,Colegio privado,Madrid,ES,+34 649 80 56 90,http://www.coachingsystem.es/
"Reiki, Conciencia & Armonía",Terapeuta de reiki,Bogotá,CO,+57 313 4371251,https://linktr.ee/Reiki_conciencia_armonia
Amarres de Amor en Monterrey - Maestro David,Centro espiritual,Monterrey,MX,+52 81 1793 7228,https://davidmaestrodelamor.com/
Medicina Holistica Colombia,Programa de salud y bienestar,Bogotá,CO,+57 320 4768093,http://www.centrodesanacionholistica.com/
Reiki Colombia - Con El Maestro Fahad,Terapeuta de reiki,Alto,CO,+57 314 3802114,http://www.escuelafahad.com/
Hélen de Souzah - Terapeuta Energética & Mentora Espiritual,Psicoterapeuta,Madrid,ES,+34 617 79 38 95,
AMARRES Y TAROT,Servicios de clarividencia,Madrid,ES,+34 613 82 27 16,http://www.amarresytarotaleris.es/
Akasha Terapia Holística,,Madrid,ES,+34 660 55 14 45,
Reiki Iyasu Te | Sanación y Energía,Terapeuta de reiki,Bogotá,CO,+57 318 5073601,
Tarotista Nora Ramírez,Vidente,Madrid,ES,+34 919 99 46 07,https://tarotdeleire.com/tarotista-nora-ramirez/
"Julia Terapeuta Holística, Naturópata, Iridóloga, Masajista Energética",Centro de salud y bienestar,Madrid,ES,+34 644 31 56 08,
EnergetiKa - Akasha Colombia,Especialista en medicina holística,Gratamira,CO,+57 315 3318970,http://www.akashacolombia.com/
Alejandra León_ Psicología Transpersonal- Terapia Holística - Duelo,Psicoterapeuta,Madrid,ES,+34 610 95 78 40,
"Gemma Centro Holístico - Quiropraxia, Aromaterapia, Masajes, Reflexologia",Centro de salud y bienestar,Cúcuta,CO,+57 305 8623760,https://www.instagram.com/gemmacentroholistico
Lectura de Tarot Santa Catarina.,Servicio de salud ocupacional,Cdad. Santa Catarina,MX,+52 81 1183 9170,
Laura Hernández Riesgo - Terapia Holística - Desarrollo Personal y Espiritual en Madrid,Terapia craneosacral,Madrid,ES,+34 605 48 16 53,https://laurahernandezriesgo.com/
VIDAREIKI - Terapia y Sesiones de Reiki,Terapeuta de reiki,Bogotá,CO,+57 312 4544767,https://www.vidareiki.com/
Consultorio Manuel Gómez Terapeuta Holístico,Especialista en medicina holística,Bogotá,CO,+57 305 2939539,https://www.evolusanandoconmanuel.com/
Lectura de tarot,Servicio de logística,Monterrey,MX,+52 81 3176 5250,
Lectura del tarot ..hierbería Jorge tarot,Herbolario,Monterrey,MX,+52 81 1231 9147,
Astroideal,Servicios de clarividencia,Pozuelo de Alarcón,ES,+34 910 97 38 29,https://www.astroideal.com/
Masajes en Madrid - Almas Holisticas,Centro de salud y bienestar,Madrid,ES,+34 633 07 91 40,https://www.almasholisticas.com/
ARA TAROT ASTROLOGIA CONSULTAS PRESENCIALES MADRID,Astrólogo,Madrid,ES,+34 626 30 18 34,
Raquel.Coach,Centro de formación,Madrid,ES,+34 601 32 42 96,https://www.raquel.coach/
Terapias del Ser,Terapeuta de reiki,Bogotá,CO,+57 310 4884015,https://terapiasdelser.com/
El Corazón del Mandala - Astrología desde el Centro,Astrólogo,Madrid,ES,+34 653 75 85 79,
Inata Wellness | Dra. Iveth Ussa - Medicina Integrativa y Terapias alternativas,Especialista en medicina holística,Bogotá,CO,+57 319 4212973,https://drinatawellness.com/
"Amarres, lectura de cartas, tarot y más - Hermano Abel",Vidente,Monterrey,MX,+52 81 1278 6419,https://hermanoabel.com.mx/
Sanio Salud Alternativa y Acupuntura,Especialista en medicina holística,Bogotá,CO,+57 318 8962669,http://sanio.com.co/
Psicólogo. Centro de Terapias. Constelaciones Biodescodificación Regresiones Reiki Hipnosis.,Psicoterapeuta,Madrid,ES,+34 650 35 90 90,https://neoconsciencia.com/
Lidia Alves - Terapeuta Holística,Psicoterapeuta,Madrid,ES,+34 633 95 73 58,http://www.esenciahumana.com/
LA ESÓTERIKA (Lectura de cartas),Vidente,Monterrey,MX,+52 81 2386 3844,
Instituto Mexicano de Numerologia,Institución educativa,"Gustavo A. Madero, Ciudad de México",MX,+52 55 7095 2442,
Bodisatva Escuela de Reiki,Profesional de medicina alternativa,Bogotá,CO,+57 319 2075942,http://www.lilianaflorezramirez.com/
"Mariola Conde | Centro de Belleza, Terapias y Salud Holística",Centro de salud y bienestar,Madrid,ES,+34 915 91 67 32,http://mariolaconde.es/
Terapeuta Holistica Integral - Andrea,Terapeuta de reiki,Villa pueyrredon,AR,+54 11 4055-4153,
Reiki y bienestar natural,Naturópata,Madrid,ES,+34 671 63 53 42,
Espacio Renacer Madrid,Terapeuta de reiki,Madrid,ES,+34 699 97 32 30,http://www.biodescodificacionmadrid.es/
Ángeles Tarot,Astrólogo,Ciudad de México,MX,+52 55 2195 5638,https://angeles-tarot.ueniweb.com/
Arjun Liébana,Terapeuta de reiki,Madrid,ES,+34 697 81 61 96,
Hierbería La Patrona Lectura de Tarot,Centro espiritual,Monterrey,MX,+52 81 1656 6291,http://facebook.com/rubensodiesoterico
ASTROLOguía - Astrólogo Madrid,Astrólogo,Madrid,ES,+34 614 22 33 89,https://www.astroyciencia.com/
Centro holístico Ultímate Health & Fitness,Acupuntor,Madrid,ES,+34 680 68 65 95,http://www.centroholisticouhf.com/
Psychology and Astrology,Astrólogo,Bogotá,CO,+57 73177228587,
MIND Astrology,Educación,Bogotá,CO,+57 15202706,
EdgarTarot Oficial,Astrólogo,Bogotá,CO,+57 319 5081101,https://wa.me/message/7TMQGH2ZOFKIH1
Casa Holistica de la Medicina,Especialista en medicina holística,Bogotá,CO,+57 320 3585065,https://casaholisticadelamedicina.com/
Pedro Moreno (Astrología y Psicología),Astrólogo,Mérida,MX,+52 999 390 0053,
SaBer Astrologia Humanista,Astrólogo,Bogotá,CO,+57 304 5902957,
Astrologia Bogota,Astrólogo,Bogotá,CO,+57 313 4276060,
Reiki a domicilio en Madrid,Oficinas de empresa,Madrid,ES,+34 605 62 93 68,http://reikiadomicilio.es/
Estelle Reiki Madrid,Terapeuta de reiki,Madrid,ES,+33 6 27 42 45 95,
Meditaciones Thetahealing Hello Zen by Dani Torres,Centro de meditación,"Cuauhtémoc, Ciudad de México",MX,+52 55 6197 9623,https://www.hellozen.com.mx/
Terapeuta Holistica Angeles Coronel,Centro de salud y bienestar,Monte Grande,AR,+54 11 6158-4720,http://www.terapeutaholistica.com.ar/
Centro Holístico Élet,Servicio de salud mental,"Bogotá, Cota",CO,+57 302 3119032,https://www.centroholisticoelet.com/
Holistica _ Cintia,Masajista,DUD,AR,+54 9 11 6509-5033,http://www.cintiaholistica.ar/
Coaching Cuantico Madrid,Servicio de salud mental,Madrid,ES,+34 635 79 11 10,https://www.miamendezsoy.com/
"Reiki, limpieza energética y equilibrado de Chakras",Terapeuta de reiki,Madrid,ES,+34 653 35 92 28,
Amarres de Amor en Monterrey - Maestro Samuel,Centro espiritual,Monterrey,MX,+52 81 8499 1094,https://maestro-samuel.com/
Instituto Avanzado de Salud Holística,Centro de salud y bienestar,Madrid,ES,+34 911 99 50 89,http://www.iasaludholistica.com/
Sergio Arango PsicoBioEnergética & Astrología,Servicio de salud mental,Bogotá,CO,+57 320 8036412,http://www.sergioarango.com/
SHAMATHA CENTRO HOLÍSTICO,Centro de salud y bienestar,Madrid,ES,+34 630 14 59 62,https://shamathacentroholistico.es/
Sakura biodinámica - Biodinámica Craneosacral y Reiki Madrid,Terapeuta de reiki,Madrid,ES,+34 622 24 70 19,https://www.sakurabiodinamica.es/
CENTRO HOLISTICO DESPERTANDO ALMAS,Terapeuta de reiki,Valentín Alsina,AR,+54 11 5319-4411,
Instituto de Formación Holística Dos Mundos,Centro educativo,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 4429-7582,
Terapias Holisticas Yovivolibre - Autoconciencia,Psicoterapeuta,Cdad. Autónoma de Buenos Aires,AR,+54 11 2396-2625,
Terapias Holisticas Integrales,Especialista en medicina holística,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 3950-1919,
Alejandra Ruzo. Flores de Bach - Astrologia profesional,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5567-8047,
ReikiMadrid,Terapeuta de reiki,Madrid,ES,+34 650 12 72 17,https://www.reikimadrid.com/
AcerquenZen: Espacio de Terapias Holísticas y Bienestar integral,Centro de salud y bienestar,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 3297-4623,https://inespons.acerquenzen.com.ar/
Centro Latinoamericano de Psicología Holística,Psicoterapeuta,Cdad. Autónoma de Buenos Aires,AR,+54 11 2819-1448,https://psicologiaholistica.com.ar/
Consideral Astrología y Tarot,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 4782-8454,
Masaje Holistico E Integral,Spa y gimnasio,Cdad. Autónoma de Buenos Aires,AR,+54 11 5108-4016,https://www.masajeholisticointegral.com.ar/
Tarot 21,Vidente,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 6598-2328,http://tarot21tarot.blogspot.com/
Centro Reiki Madrid,Terapeuta de reiki,Madrid,ES,+34 626 61 55 38,http://www.cursosreikienmadrid.com/
Escuela Reikiterapias - Cursos de Reiki en Madrid,Terapeuta de reiki,Madrid,ES,+34 629 80 63 34,http://www.reikiterapias.com/
"Amarres de amor, limpias, tarot, lectura de cartas.",Vidente,Juárez,MX,+52 656 600 1616,
VENUS TAROT & ASTROLOGÍA,Astrólogo,"Benito Juárez, Ciudad de México",MX,+52 55 1682 0387,
Kala Lectura de Tarot y Videncia,Astrólogo,"Cuauhtémoc, Ciudad de México",MX,+52 55 2800 8940,
Sonrie a Reiki,Terapeuta de reiki,Madrid,ES,+34 687 37 12 05,http://www.sonrieareiki.com/
Lic.Gladys Valadez-Astrologa,Astrólogo,"Miguel Hidalgo, Ciudad de México",MX,+52 55 5076 7108,
Condesa tarot & astrología gitana,Astrólogo,"Miguel Hidalgo, Ciudad de México",MX,+52 56 5465 9968,
Krishna Das Astrología Védica,Astrólogo,Barranquilla,CO,+57 310 4798751,https://www.instagram.com/krishna_astrologia
Terapia Holistica QuanTum,Especialista en medicina holística,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 3758-1384,
Astrología y Psicología Muros Rotos,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 2322-7182,https://www.enronda.com/profesionales/murosrotos
Terapeuta Madrid | Karol Ortega,Programa de salud y bienestar,Madrid,ES,+34 679 75 86 07,https://www.karolortega.com/
Escuela de Astrología Isis Buenos Aires,Centro educativo,Martínez,AR,+54 11 5454-6767,http://www.isisbuenosaires.com.ar/
"Aqua Aura, Centro Bienestar Integral",Terapeuta de reiki,Madrid,ES,+34 630 62 41 21,http://www.aquaaura-madrid.es/
Clases de Astrología,Servicio de clases particulares,"Coyoacán, Ciudad de México",MX,+52 55 4341 0816,http://www.clasesdeastrologia.com.mx/
Asociación de Servicio Reiki,Asociación u organización,Madrid,ES,+34 717 77 08 79,https://servicioreiki.org/
Escuela Baraka - Astrología y Tarot,Escuela de educación para adultos,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 3309-2822,http://www.escuelabaraka.com/
Infinito Terapias Holísticas. Cursos y Talleres,Psicólogo,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5820-1105,
Masajes y Reiki Madrid - Lola Manos de Luz,Terapeuta de reiki,Madrid,ES,+34 619 17 45 02,https://www.reikimanosdeluz.com/
Astrología y Tarot,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 6812-9684,http://casadeagua.wixsite.com/casadeagua
Holistic-Ha Soul Center,Centro de retiro,"Benito Juárez, Ciudad de México",MX,+52 55 1725 0476,https://holistic-ha.com/
Astrologia y Servicios Espirituales,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 2834-8402,
Terapeuta holística/Cristales energéticos/runas/astrología/chamanismo,Centro comercial,Cdad. Autónoma de Buenos Aires,AR,+54 11 3450-3290,http://www.piedradelalma.site/
Astrología Astrosincronicidad,Astrólogo,Cdad. Autónoma de Buenos Aires,AR,+54 11 5965-8928,
Centro Holístico Buenos Aires,Psicoterapeuta,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5636-7465,https://www.centroholistico.com.ar/
Centro de Numerología y Astrotarot de Buenos Aires,Centro escolar,Cdad. Autónoma de Buenos Aires,AR,+54 11 3378-3619,http://www.cnatba.com.ar/
Psychic Medium Tarot Astrology,Vidente,"Miguel Hidalgo, Ciudad de México",MX,+52 322 245 5990,https://theworldsmediumagency.com/
Alianza Española de Reiki,Terapeuta de reiki,Madrid,ES,+34 608 35 10 15,https://www.alianzadereiki.eu/
Maestría Reiki David | Escuela de Reiki | Consulta Terapéutica en Móstoles (Madrid),Terapeuta de reiki,Móstoles,ES,+34 682 89 35 15,https://www.maestriareiki.es/
Reiki Terapias y Cursos,Terapeuta de reiki,Bogotá,CO,+57 305 4557354,https://sanacionylareconexion.com/
MADRID REIKI,Terapeuta de reiki,Madrid,ES,+34 636 29 92 31,https://madridreiki.org/
"Reiki, Terapia Transpersonal y Mindfulness en Espacio Soy Presencia",Terapeuta de reiki,Madrid,ES,+34 657 65 08 87,https://soypresencia.com/
Pedro Serrano Coach,,Madrid,ES,+34 607 84 09 09,https://pedroserrano.coach/
Instituto Superior de Astrología - ISAA,Instituto de investigación,Cdad. Autónoma de Buenos Aires,AR,+54 11 5011-4541,http://www.isaa.com.ar/
ASTRO AKASH por Arianna Santo,Astrólogo,"Miguel Hidalgo, Ciudad de México",MX,+52 55 4056 9005,http://www.astroakash.com/
Prof. Santiago Juno (Tarot y Astrología),Asesor,"Benito Juárez, Ciudad de México",MX,+52 55 4037 7936,https://profjuno.com/
Karina Longo - Astrologa - Terapeuta Holística,Centro de salud y bienestar,Cdad. Autónoma de Buenos Aires,AR,+54 9 11 5585-1374,https://www.karinalongo.com.ar/
Instituto Superior De Estudios Holísticos,Centro de formación,Madrid,ES,+34 911 43 71 31,https://www.iseholistico.com/
Reiki Madrid | Sesiones de Reiki | Reiki | Yoga | Pilates | Chi-kung |,Terapeuta de reiki,Madrid,ES,+34 660 10 91 82,https://salamiga.com/
